time, temperature, humidity, pm25, pm10, ozone, V-ozone, voc, V-voc, ammonia, V-ammonia 
0.0, 25.8, 62.1, 1.3, 2.7, 11.91, 3.24, 2.942, 3.57, 0.221, 1.794
1.5, 25.8, 62.1, 1.3, 2.7, 12.009, 3.24, 2.944, 3.57, 0.216, 1.79
3.0, 25.8, 62.2, 1.3, 2.6, 11.928, 3.232, 2.941, 3.57, 0.217, 1.79
4.5, 25.8, 62.1, 1.4, 2.7, 11.991, 3.24, 2.939, 3.57, 0.217, 1.79
6.0, 25.8, 62.3, 1.4, 2.8, 11.952, 3.24, 2.945, 3.568, 0.217, 1.79
7.51, 25.8, 62.1, 1.4, 2.7, 12.598, 3.162, 2.945, 3.57, 0.217, 1.79
9.01, 25.8, 62.1, 1.4, 2.7, 13.471, 3.078, 2.94, 3.57, 0.213, 1.786
10.51, 25.8, 62.1, 1.4, 2.7, 13.493, 3.084, 2.932, 3.568, 0.208, 1.786
12.01, 25.9, 62.2, 1.4, 2.7, 13.458, 3.079, 2.935, 3.569, 0.211, 1.779
13.51, 25.9, 62.0, 1.4, 2.7, 13.517, 3.07, 2.947, 3.57, 0.214, 1.783
15.01, 25.9, 62.0, 1.4, 2.7, 13.385, 3.082, 2.94, 3.574, 0.215, 1.79
16.51, 25.8, 62.1, 1.4, 2.6, 12.514, 3.187, 2.952, 3.569, 0.216, 1.787
18.01, 25.9, 62.3, 1.4, 2.6, 11.926, 3.237, 2.947, 3.577, 0.217, 1.79
19.51, 25.9, 62.1, 1.4, 2.6, 12.309, 3.234, 2.945, 3.57, 0.217, 1.79
21.01, 26.0, 62.0, 1.4, 2.1, 11.923, 3.239, 2.95, 3.573, 0.217, 1.79
22.51, 25.9, 62.2, 1.3, 1.5, 12.662, 3.123, 2.92, 3.57, 0.203, 1.77
24.02, 25.9, 61.9, 1.4, 1.6, 13.555, 3.07, 2.944, 3.564, 0.208, 1.778
25.52, 26.0, 62.0, 1.4, 1.7, 13.491, 3.028, 2.958, 3.576, 0.213, 1.782
27.02, 26.0, 62.0, 1.4, 1.7, 13.422, 3.082, 2.974, 3.578, 0.216, 1.79
28.52, 25.9, 61.9, 1.4, 1.6, 13.809, 3.078, 2.949, 3.578, 0.212, 1.79
30.02, 26.0, 61.9, 1.4, 1.6, 13.434, 3.082, 2.972, 3.582, 0.215, 1.79
31.52, 26.0, 61.8, 1.4, 1.6, 13.517, 3.082, 2.978, 3.582, 0.216, 1.79
33.02, 25.9, 62.0, 1.4, 1.6, 13.663, 3.078, 2.965, 3.586, 0.216, 1.79
34.52, 26.0, 61.7, 1.4, 1.6, 13.5, 3.072, 2.965, 3.574, 0.213, 1.786
36.02, 26.0, 61.8, 1.3, 1.5, 13.534, 3.066, 2.955, 3.57, 0.202, 1.778
37.52, 26.0, 61.7, 1.4, 1.6, 13.732, 3.028, 2.966, 3.574, 0.203, 1.774
39.03, 26.0, 62.0, 1.4, 1.6, 13.969, 3.086, 2.989, 3.582, 0.207, 1.778
40.53, 26.0, 61.9, 1.4, 1.6, 13.504, 3.082, 2.982, 3.582, 0.21, 1.782
42.03, 25.9, 61.8, 1.4, 1.6, 13.513, 3.074, 2.982, 3.582, 0.213, 1.786
43.53, 26.0, 61.9, 1.4, 1.6, 13.781, 3.07, 2.98, 3.582, 0.206, 1.782
45.03, 26.0, 61.7, 1.4, 1.6, 13.542, 3.07, 2.982, 3.586, 0.208, 1.774
46.53, 26.0, 61.7, 1.4, 1.7, 13.533, 3.068, 2.995, 3.59, 0.212, 1.782
48.03, 26.0, 61.9, 1.4, 1.7, 13.584, 3.068, 2.974, 3.586, 0.208, 1.778
49.53, 26.0, 61.6, 1.4, 1.7, 13.691, 3.046, 2.968, 3.572, 0.198, 1.78
51.03, 26.1, 61.6, 1.5, 1.7, 13.617, 3.07, 2.984, 3.582, 0.2, 1.77
