time, temperature, humidity, pm25, pm10, ozone, V-ozone, voc, V-voc, ammonia, V-ammonia 
0.0, 25.5, 61.8, 1.7, 2.5, 11.596, 3.096, 2.991, 3.552, 0.233, 1.79
1.5, 25.5, 61.5, 1.7, 2.6, 11.83, 3.082, 2.973, 3.548, 0.223, 1.778
4.18, 25.5, 61.5, 1.7, 2.6, 11.826, 3.095, 2.948, 3.54, 0.214, 1.77
5.68, 25.5, 61.4, 1.7, 2.7, 11.704, 3.082, 2.953, 3.546, 0.213, 1.768
7.18, 25.6, 61.4, 1.8, 2.7, 11.571, 3.098, 2.991, 3.56, 0.215, 1.77
8.69, 25.5, 61.5, 1.7, 2.6, 11.571, 3.098, 2.993, 3.556, 0.217, 1.77
10.19, 25.6, 61.3, 1.7, 2.5, 11.574, 3.096, 2.993, 3.56, 0.218, 1.77
11.69, 25.6, 61.3, 1.7, 2.5, 10.646, 3.182, 2.993, 3.556, 0.221, 1.774
13.19, 25.6, 61.3, 1.7, 2.4, 10.673, 3.156, 2.993, 3.56, 0.229, 1.778
14.69, 25.6, 61.4, 1.7, 2.4, 11.585, 3.098, 2.993, 3.56, 0.23, 1.782
16.19, 25.6, 61.2, 1.6, 2.3, 11.603, 3.094, 2.985, 3.552, 0.224, 1.776
17.69, 25.6, 61.6, 1.6, 2.4, 11.69, 3.082, 2.972, 3.542, 0.213, 1.768
19.19, 25.5, 61.4, 1.5, 2.3, 11.593, 3.046, 2.985, 3.56, 0.214, 1.77
20.69, 25.5, 61.4, 1.6, 2.3, 11.556, 3.098, 2.979, 3.556, 0.219, 1.778
22.19, 25.5, 61.1, 1.5, 2.2, 11.556, 3.092, 2.998, 3.558, 0.225, 1.782
23.7, 25.6, 61.0, 1.6, 2.2, 11.56, 3.096, 3.003, 3.562, 0.23, 1.786
25.2, 25.6, 61.0, 1.5, 2.2, 11.549, 3.12, 3.007, 3.562, 0.233, 1.79
26.7, 25.7, 61.0, 1.5, 2.2, 11.549, 3.098, 3.003, 3.56, 0.233, 1.786
28.2, 25.6, 61.0, 1.4, 1.8, 11.575, 3.098, 3.002, 3.565, 0.229, 1.79
29.7, 25.6, 61.0, 1.5, 1.8, 11.3, 3.082, 2.974, 3.548, 0.218, 1.777
31.2, 25.7, 61.2, 1.4, 1.8, 11.561, 3.094, 2.992, 3.558, 0.217, 1.775
32.7, 25.7, 61.2, 1.4, 1.7, 11.549, 3.098, 3.008, 3.568, 0.228, 1.772
34.2, 25.7, 61.1, 1.4, 1.7, 11.559, 3.097, 3.009, 3.565, 0.229, 1.773
35.7, 25.7, 61.4, 1.4, 1.7, 11.569, 3.097, 3.011, 3.549, 0.228, 1.773
37.2, 25.7, 61.1, 1.3, 1.7, 10.893, 3.157, 3.006, 3.547, 0.226, 1.77
38.71, 25.7, 61.4, 1.4, 1.7, 11.564, 3.085, 3.019, 3.554, 0.233, 1.774
